143,3.3,44.93
140,3.29,45.57
141,3.29,45.63
139,3.3,45.72
144,3.3,45.03
143,3.31,45.22
139,3.31,45.31
132,3.3,45.2
128,3.3,44.68
128,3.3,44.98
127,3.29,45.54
125,3.32,45.35
128,3.35,45.39
127,3.38,45.86
130,3.36,45.54
136,3.35,45.74
144,3.33,45.91
152,3.33,45.98
154,3.33,46.71
154,3.33,46.98
152,3.33,46.9
153,3.32,47.0
152,3.32,46.88
152,3.31,47.38
153,3.33,47.43
151,3.32,47.24
149,3.33,47.52
146,3.35,47.07
144,3.35,47.21
144,3.36,47.08
140,3.36,47.34
138,3.35,46.62
144,3.36,45.66
152,3.33,45.03
163,3.33,45.59
163,3.32,45.36
160,3.31,45.53
164,3.33,45.55
172,3.36,45.55
171,3.36,45.47
170,3.35,45.79
169,3.34,45.98
168,3.35,46.15
165,3.36,46.07
161,3.36,46.46
154,3.37,46.71
150,3.38,46.5
146,3.4,46.22
143,3.41,46.46
146,3.39,46.42
147,3.38,45.94
146,3.38,45.81
147,3.4,45.13
154,3.36,44.82
164,3.34,44.47
167,3.34,43.82
167,3.33,43.29
166,3.31,43.45
162,3.31,43.38
164,3.31,43.86
165,3.32,43.68
165,3.33,43.42
165,3.33,43.3
165,3.33,43.53
164,3.32,43.51
165,3.31,43.35
161,3.31,43.38
159,3.3,43.35
156,3.31,43.17
150,3.3,42.71
149,3.34,42.51
150,3.35,42.45
147,3.36,43.27
150,3.38,43.51
156,3.38,43.49
157,3.39,43.07
163,3.38,43.99
172,3.39,44.76
172,3.39,44.59
173,3.38,44.61
176,3.39,44.48
181,3.36,44.19
190,3.38,43.52
192,3.39,43.92
198,3.4,43.51
195,3.4,43.35
195,3.4,43.35
189,3.4,43.27
185,3.4,43.49
174,3.42,43.43
170,3.41,43.19
167,3.42,42.97
166,3.41,42.99
164,3.42,43.35
165,3.41,43.42
178,3.39,43.88
188,3.38,44.41
194,3.38,44.5
197,3.37,45.12
195,3.36,44.69
201,3.38,44.52
208,3.39,44.23
220,3.38,44.19
224,3.38,44.22
227,3.38,44.48
228,3.38,44.05
228,3.38,43.42
231,3.38,43.11
228,3.38,43.02
227,3.37,42.32
223,3.38,42.73
217,3.38,42.82
212,3.4,42.78
212,3.42,43.04
214,3.42,43.24
221,3.41,43.8
226,3.41,44.32
233,3.41,44.12
243,3.39,44.35
244,3.39,44.28
240,3.39,44.69
239,3.39,44.66
238,3.41,45.0
236,3.43,45.2
240,3.43,45.09
241,3.43,45.45
246,3.45,45.56
246,3.45,45.75
248,3.45,45.58
252,3.45,45.27
250,3.44,45.3
244,3.44,44.8
242,3.42,44.99
240,3.42,44.78
231,3.42,44.89
236,3.43,45.1
240,3.45,45.16
242,3.46,44.88
237,3.46,45.34
239,3.47,45.15
242,3.47,44.89
236,3.48,44.76
235,3.48,44.64
233,3.48,44.71
236,3.49,45.07
240,3.49,45.19
245,3.5,45.3
248,3.49,45.05
252,3.49,44.92
261,3.48,45.13
264,3.49,45.11
266,3.49,45.03
267,3.49,44.48
268,3.49,44.0
271,3.48,43.8
275,3.49,43.82
284,3.48,44.03
280,3.49,44.38
282,3.48,44.63
273,3.48,44.56
270,3.47,44.75
272,3.48,44.93
269,3.47,45.09
267,3.48,45.17
264,3.49,45.48
261,3.48,45.32
255,3.51,45.68
253,3.51,45.83
259,3.52,45.71
270,3.52,45.72
273,3.52,45.63
265,3.53,45.68
261,3.52,45.51
258,3.52,45.45
253,3.51,45.28
262,3.5,45.29
267,3.48,45.05
270,3.48,45.14
265,3.49,45.17
264,3.49,44.68
265,3.48,44.71
265,3.48,44.86
256,3.48,44.61
248,3.48,44.77
245,3.48,44.77
241,3.47,44.78
232,3.45,44.52
235,3.46,44.52
241,3.47,44.67
248,3.49,44.79
250,3.49,45.09
246,3.5,45.11
242,3.5,45.11
238,3.52,44.87
238,3.48,44.6
239,3.49,44.44
236,3.49,44.26
232,3.48,44.38
235,3.49,44.42
234,3.48,44.4
230,3.47,44.0
230,3.45,44.46
233,3.46,44.28
229,3.45,43.98
218,3.44,43.8
207,3.44,44.0
197,3.44,44.16
198,3.44,44.2
204,3.43,44.05
206,3.44,43.68
220,3.46,43.42
215,3.48,43.28
216,3.5,43.68
212,3.52,43.61
211,3.52,43.61
217,3.51,44.01
213,3.49,43.75
